Circuit Name,Qubit Num,Gate Num,method,lay,cx_ideal,cx_constrained,cx_added,depth_ideal,depth_constrained,seed,layout_time_s,transpile_time_s,size
decod24-v2_43,4,52,dense,True,22,67,45,30,63,6642,0.000751,0.003881,97
decod24-v2_43,4,52,trivial,True,22,52,30,30,52,6742,0.000448,0.003680,82
decod24-v2_43,4,52,sabre,True,22,31,9,30,41,6742,0.001672,0.003345,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,6742,0.000800,0.002714,52
decod24-v2_43,4,52,dense,True,22,61,39,30,71,6742,0.000770,0.003903,91
decod24-v2_43,4,52,trivial,True,22,61,39,30,68,6842,0.000428,0.003853,91
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,6842,0.001489,0.002576,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,6842,0.000788,0.002545,52
decod24-v2_43,4,52,dense,True,22,64,42,30,76,6842,0.000754,0.003852,94
decod24-v2_43,4,52,trivial,True,22,58,36,30,68,6942,0.000421,0.004496,88
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,6942,0.001567,0.002644,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,6942,0.000798,0.002537,52
decod24-v2_43,4,52,dense,True,22,49,27,30,49,6942,0.000783,0.003589,79
decod24-v2_43,4,52,trivial,True,22,70,48,30,77,7042,0.000420,0.003793,100
decod24-v2_43,4,52,sabre,True,22,31,9,30,41,7042,0.001674,0.003498,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,7042,0.000778,0.002575,52
decod24-v2_43,4,52,dense,True,22,43,21,30,46,7042,0.000740,0.003850,73
decod24-v2_43,4,52,trivial,True,22,67,45,30,79,7142,0.000436,0.003892,97
decod24-v2_43,4,52,sabre,True,22,31,9,30,40,7142,0.001790,0.003441,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,7142,0.000760,0.002772,52
decod24-v2_43,4,52,dense,True,22,52,30,30,46,7142,0.000779,0.003630,82
decod24-v2_43,4,52,trivial,True,22,55,33,30,63,7242,0.000421,0.003708,85
decod24-v2_43,4,52,sabre,True,22,52,30,30,66,7242,0.001669,0.003624,82
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,7242,0.000817,0.002663,52
decod24-v2_43,4,52,dense,True,22,64,42,30,64,7242,0.000745,0.003862,94
decod24-v2_43,4,52,trivial,True,22,67,45,30,78,7342,0.000416,0.003855,97
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,7342,0.001774,0.002592,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,7342,0.000766,0.002611,52
decod24-v2_43,4,52,dense,True,22,55,33,30,57,7342,0.000858,0.003583,85
decod24-v2_43,4,52,trivial,True,22,49,27,30,55,7442,0.000420,0.003754,79
decod24-v2_43,4,52,sabre,True,22,31,9,30,40,7442,0.001646,0.003584,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,7442,0.000763,0.002601,52
decod24-v2_43,4,52,dense,True,22,58,36,30,63,7442,0.000780,0.003637,88
decod24-v2_43,4,52,trivial,True,22,64,42,30,75,7542,0.000435,0.003937,94
decod24-v2_43,4,52,sabre,True,22,31,9,30,41,7542,0.001561,0.003433,61
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,7542,0.000785,0.002639,52
decod24-v2_43,4,52,dense,True,22,79,57,30,76,7542,0.000772,0.003936,109
decod24-v2_43,4,52,trivial,True,22,67,45,30,74,7642,0.000432,0.003905,97
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,7642,0.001509,0.002655,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,7642,0.000827,0.002548,52
decod24-v2_43,4,52,dense,True,22,76,54,30,83,7642,0.000763,0.003870,106
decod24-v2_43,4,52,trivial,True,22,64,42,30,76,7742,0.000430,0.003987,94
decod24-v2_43,4,52,sabre,True,22,22,0,30,30,7742,0.001667,0.002634,52
decod24-v2_43,4,52,vf2,True,22,22,0,30,30,7742,0.000756,0.002472,52
decod24-v2_43,4,52,dense,True,22,79,57,30,86,7742,0.000770,0.003853,109
decod24-v2_43,4,52,trivial,True,22,52,30,30,53,7842,0.000424,0.003767,82
